Connecting to unreal.db...
Starting backfill with workers=1 (single-process to avoid OOM)...
  backfill starting: 84,696 files, workers=1, provider=unreal
  bracket scan: 500/84696 (1%) 1430 files/s ETA 59s
  bracket scan: 1000/84696 (1%) 1353 files/s ETA 62s
  bracket scan: 1500/84696 (2%) 660 files/s ETA 126s
  bracket scan: 2000/84696 (2%) 486 files/s ETA 170s
  bracket scan: 2500/84696 (3%) 467 files/s ETA 176s
  bracket scan: 3000/84696 (4%) 457 files/s ETA 179s
  bracket scan: 3500/84696 (4%) 450 files/s ETA 180s
  bracket scan: 4000/84696 (5%) 379 files/s ETA 213s
  bracket scan: 4500/84696 (5%) 258 files/s ETA 311s
  bracket scan: 5000/84696 (6%) 262 files/s ETA 304s
  bracket scan: 5500/84696 (6%) 276 files/s ETA 287s
  bracket scan: 6000/84696 (7%) 279 files/s ETA 282s
  bracket scan: 6500/84696 (8%) 287 files/s ETA 272s
  bracket scan: 7000/84696 (8%) 287 files/s ETA 271s
  bracket scan: 7500/84696 (9%) 293 files/s ETA 264s
  bracket scan: 8000/84696 (9%) 293 files/s ETA 262s
  bracket scan: 8500/84696 (10%) 279 files/s ETA 273s
  bracket scan: 9000/84696 (11%) 283 files/s ETA 267s
  bracket scan: 9500/84696 (11%) 276 files/s ETA 272s
  bracket scan: 10000/84696 (12%) 270 files/s ETA 276s
  bracket scan: 10500/84696 (12%) 266 files/s ETA 279s
  bracket scan: 11000/84696 (13%) 266 files/s ETA 277s
  bracket scan: 11500/84696 (14%) 275 files/s ETA 266s
  bracket scan: 12000/84696 (14%) 280 files/s ETA 259s
  bracket scan: 12500/84696 (15%) 274 files/s ETA 264s
  bracket scan: 13000/84696 (15%) 276 files/s ETA 260s
  bracket scan: 13500/84696 (16%) 279 files/s ETA 255s
  bracket scan: 14000/84696 (17%) 285 files/s ETA 248s
  bracket scan: 14500/84696 (17%) 285 files/s ETA 246s
  bracket scan: 15000/84696 (18%) 284 files/s ETA 246s
  bracket scan: 15500/84696 (18%) 282 files/s ETA 245s
  bracket scan: 16000/84696 (19%) 285 files/s ETA 241s
  bracket scan: 16500/84696 (19%) 286 files/s ETA 238s
  bracket scan: 17000/84696 (20%) 282 files/s ETA 240s
  bracket scan: 17500/84696 (21%) 284 files/s ETA 236s
